name,RA,DEC,Reff,r_mag,g_mag,axis_ratio,pos_angle,n,u,g,r,i,ue,ge,re,ie,Reffe,r_mage,ne,C,mue_r,bae,RFF
UDGcand_5282,51.81602478027344,-34.127681732177734,2.2442400455474854,19.600099563598633,-1.0,0.5515000224113464,49.170799255371094,1.2278000116348267,-1.0,22.048789978027344,20.627023696899414,20.075223922729492,-1.0,0.06526251137256622,0.03789948672056198,0.04067153111100197,0.1664268523454666,0.08195296674966812,0.08103986829519272,2.8989179134368896,22.704185485839844,0.019052639603614807,-99.0
UDGcand_5283,52.44214630126953,-34.562808990478516,1.1525800228118896,21.52869987487793,-1.0,0.7856000065803528,-59.75529861450195,1.1813000440597534,-1.0,23.489154815673828,22.788036346435547,22.5786190032959,-1.0,0.10065831989049911,0.0698019340634346,0.047908153384923935,0.1315738409757614,0.130246102809906,0.11638978123664856,3.7666382789611816,23.56993293762207,0.027146322652697563,-99.0
UDGcand_5284,51.67943572998047,-34.166282653808594,2.281519889831543,19.14579963684082,-1.0,0.7177000045776367,57.59410095214844,0.4961000084877014,-1.0,21.569917678833008,20.109413146972656,19.580913543701172,-1.0,0.05699766054749489,0.035321805626153946,0.0404699333012104,0.15837955474853516,0.0763421505689621,0.07667107880115509,2.1682777404785156,22.571653366088867,0.018047528341412544,-99.0
UDGcand_5285,52.53630828857422,-34.37205505371094,6.334499835968018,19.07550048828125,-1.0,0.6355000138282776,36.06209945678711,10.0,-1.0,21.579811096191406,19.883316040039062,19.24091148376465,-1.0,0.21000443398952484,0.057889174669981,0.04622579365968704,1.2001628875732422,0.22442284226417542,0.1780572533607483,4.008161544799805,24.58672523498535,0.04114261269569397,-99.0
UDGcand_5287,51.76213455200195,-33.96894073486328,2.889940023422241,18.934999465942383,-1.0,0.8648999929428101,-36.887699127197266,2.8661000728607178,-1.0,21.440881729125977,19.84755516052246,19.268169403076172,-1.0,0.07306454330682755,0.036611586809158325,0.04076356440782547,0.2580244541168213,0.10003338754177094,0.0947004184126854,3.116246461868286,23.076732635498047,0.022188058122992516,-99.0
UDGcand_5290,51.988189697265625,-34.94810104370117,2.201359987258911,20.269800186157227,-1.0,0.7649999856948853,-70.52069854736328,1.020900011062622,-1.0,21.77764892578125,21.248485565185547,21.07567596435547,-1.0,0.06358754634857178,0.049650926142930984,0.04501444101333618,0.2664302587509155,0.1386873424053192,0.12224330008029938,2.634045124053955,23.687284469604492,0.02848079986870289,-99.0
UDGcand_5292,52.15626525878906,-34.1779899597168,3.0228400230407715,19.47170066833496,-1.0,0.3953000009059906,-23.939599990844727,1.2144999504089355,-1.0,21.858070373535156,20.44986915588379,19.953523635864258,-1.0,0.06579357385635376,0.03773494437336922,0.04080413281917572,0.24237975478172302,0.08912529051303864,0.08653060346841812,2.764209747314453,22.8609676361084,0.020314190536737442,-99.0
UDGcand_5293,51.57100296020508,-34.85630416870117,1.8479000329971313,19.260299682617188,-1.0,0.6937000155448914,52.67250061035156,0.5336999893188477,-1.0,21.497133255004883,20.219533920288086,19.788850784301758,-1.0,0.04743741825222969,0.03455431014299393,0.04035314917564392,0.10614239424467087,0.06228964403271675,0.06540285795927048,2.385606288909912,22.191495895385742,0.015449068509042263,-99.0
UDGcand_5294,51.588138580322266,-34.008419036865234,1.2941399812698364,20.08769989013672,-1.0,0.8309000134468079,58.30659866333008,8.105299949645996,-1.0,23.028823852539062,21.281681060791016,20.474971771240234,-1.0,0.08595273643732071,0.040782541036605835,0.04051198437809944,0.08418982475996017,0.0712004154920578,0.07260551303625107,2.385606288909912,22.44135284423828,0.017111044377088547,-99.0
UDGcand_5296,51.70811462402344,-34.25476837158203,5.285359859466553,17.723400115966797,-1.0,0.7271000146865845,55.95289993286133,0.8815000057220459,-1.0,19.220439910888672,18.584110260009766,18.36346435546875,-1.0,0.03851395100355148,0.03360728919506073,0.040937554091215134,0.4514042139053345,0.09537575393915176,0.0912371277809143,2.6707987785339355,22.987632751464844,0.0213941540569067,-99.0
UDGcand_5297,52.46458053588867,-36.64781188964844,0.9458400011062622,19.501800537109375,-1.0,0.7657999992370605,-30.480199813842773,2.988800048828125,23.941619873046875,22.45318031311035,20.709877014160156,20.233610153198242,0.07859037071466446,0.05380743741989136,0.03488508611917496,0.04020708054304123,0.031319476664066315,0.03447549045085907,0.04119579493999481,2.821357250213623,21.08605194091797,0.009830525144934654,-99.0
UDGcand_5298,51.92154312133789,-36.458961486816406,1.9061800241470337,19.482900619506836,-1.0,0.7558000087738037,-35.1609001159668,2.5666000843048096,24.0181941986084,22.202165603637695,20.481483459472656,19.90238380432129,0.2124437838792801,0.0709068700671196,0.036655835807323456,0.04050707817077637,0.1325192153453827,0.07646308094263077,0.07676596939563751,4.008161544799805,22.57461166381836,0.018069371581077576,-99.0
UDGcand_5302,52.34507369995117,-36.65781784057617,1.7194600105285645,20.25469970703125,-1.0,0.8895999789237976,43.8306999206543,1.1729999780654907,22.491775512695312,21.770143508911133,21.263290405273438,21.05705451965332,0.06715544313192368,0.05523858964443207,0.04541121423244476,0.04288502782583237,0.17154362797737122,0.1126992478966713,0.10394635796546936,2.6573946475982666,23.299522399902344,0.024304473772644997,-99.0
UDGcand_5304,52.45159149169922,-36.56965255737305,2.7556800842285156,20.076400756835938,-1.0,0.8687000274658203,67.42160034179688,10.0,24.284652709960938,22.337038040161133,20.978538513183594,20.41156005859375,0.6049924492835999,0.1307959407567978,0.05409422516822815,0.044326864182949066,0.4136863648891449,0.1747855693101883,0.14646388590335846,4.771212577819824,24.119592666625977,0.03398833051323891,-99.0
UDGcand_5306,51.88072967529297,-35.97903060913086,1.5580999851226807,20.345800399780273,-1.0,0.8349000215530396,11.142499923706055,2.7039999961853027,25.643054962158203,23.139596939086914,21.383455276489258,20.43980598449707,0.6664488911628723,0.1105654314160347,0.04475739598274231,0.04076949879527092,0.14127862453460693,0.10170686990022659,0.09593609720468521,3.184110403060913,23.107736587524414,0.022471163421869278,-99.0
UDGcand_5307,51.79804992675781,-35.97275161743164,1.306939959526062,22.37299919128418,-1.0,0.24369999766349792,68.9906997680664,10.0,-1.0,25.2659912109375,23.7171630859375,23.318960189819336,-1.0,0.21030347049236298,0.08812844008207321,0.047309644520282745,0.1381995528936386,0.1199660375714302,0.1091475859284401,2.385606288909912,23.416292190551758,0.025493202731013298,-99.0
UDGcand_5308,51.994293212890625,-36.81739807128906,3.3125600814819336,19.121200561523438,-1.0,0.8837000131607056,89.04460144042969,10.0,24.641128540039062,21.58247947692871,19.94192123413086,19.291122436523438,1.214325189590454,0.09730987995862961,0.0399707593023777,0.04127992317080498,0.3805530071258545,0.13113580644130707,0.11701056361198425,3.961958408355713,23.58265495300293,0.027287917211651802,-99.0
UDGcand_5309,51.664772033691406,-36.032196044921875,3.6460800170898438,21.718399047851562,-1.0,0.5444999933242798,-53.52349853515625,4.135700225830078,22.98854637145996,23.087905883789062,22.766902923583984,22.485742568969727,0.20930911600589752,0.2569909691810608,0.19955626130104065,0.13483856618404388,1.3043818473815918,0.44415438175201416,0.30354043841362,3.184110403060913,25.86240005493164,0.06931865215301514,-99.0
UDGcand_5311,51.8935546875,-36.303131103515625,1.8743000030517578,19.354400634765625,-1.0,0.840499997138977,0.19939999282360077,0.6984000205993652,21.112518310546875,20.620948791503906,20.31179428100586,20.084129333496094,0.0442936085164547,0.03765207901597023,0.03574881702661514,0.040740810334682465,0.127109557390213,0.07445245236158371,0.07518406957387924,2.8989179134368896,22.52481460571289,0.01770513318479061,-99.0
UDGcand_5313,52.02694320678711,-35.95174026489258,1.6451200246810913,20.428499221801758,-1.0,0.8051000237464905,52.92900085449219,5.181300163269043,25.315998077392578,23.092151641845703,21.4873104095459,20.849021911621094,0.5332586765289307,0.11139073222875595,0.04724493995308876,0.0415881909430027,0.16164879500865936,0.11087272316217422,0.10262762755155563,3.8171398639678955,23.26898765563965,0.02400287613272667,-99.0
